timestamp,id,n_parties,protocol_ms,global_aggregate
2026-06-06T03:45:02,0,6,913.272,210
2026-06-06T03:46:25,0,2,231.325,812
2026-06-06T03:46:27,0,2,241.527,838
2026-06-06T03:46:28,0,2,217.552,815
